Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteDataDriven,Chrome 100.0.4896.127,,,2022-04-26 15:20:35,2022-04-26 15:23:16,2m - 41.041s,PASSED
,,,,,,,
Test Cases/DataDrivenTest/TestCaseDataDriven,Chrome 100.0.4896.127,,,2022-04-26 15:20:35,2022-04-26 15:22:01,1m - 25.431s,PASSED
"openBrowser(""https://demo-store.katalon.com/"")",Chrome 100.0.4896.127,,,2022-04-26 15:20:36,2022-04-26 15:20:43,7.685s,PASSED
"click(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/div_Zack Market_userHeader_tag__2vbdQ""))",Chrome 100.0.4896.127,,,2022-04-26 15:20:43,2022-04-26 15:20:44,0.362s,PASSED
"setText(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/input_Email_email""), Username)",Chrome 100.0.4896.127,,,2022-04-26 15:20:44,2022-04-26 15:21:52,1m - 8.157s,PASSED
"setText(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/input_Password_password""), Password)",Chrome 100.0.4896.127,,,2022-04-26 15:21:52,2022-04-26 15:21:56,3.917s,PASSED
"click(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/input_Required_button_btn__2lzmo""))",Chrome 100.0.4896.127,,,2022-04-26 15:21:56,2022-04-26 15:21:58,2.053s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/div_Zack Market""), 0)",Chrome 100.0.4896.127,,,2022-04-26 15:21:58,2022-04-26 15:22:01,2.922s,PASSED
closeBrowser(),Chrome 100.0.4896.127,,,2022-04-26 15:22:01,2022-04-26 15:22:01,0.126s,PASSED
,,,,,,,
Test Cases/DataDrivenTest/TestCaseDataDriven,Chrome 100.0.4896.127,,,2022-04-26 15:22:01,2022-04-26 15:23:16,1m - 15.371s,PASSED
"openBrowser(""https://demo-store.katalon.com/"")",Chrome 100.0.4896.127,,,2022-04-26 15:22:01,2022-04-26 15:22:07,5.617s,PASSED
"click(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/div_Zack Market_userHeader_tag__2vbdQ""))",Chrome 100.0.4896.127,,,2022-04-26 15:22:07,2022-04-26 15:22:07,0.440s,PASSED
"setText(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/input_Email_email""), Username)",Chrome 100.0.4896.127,,,2022-04-26 15:22:07,2022-04-26 15:23:14,1m - 6.544s,PASSED
"setText(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/input_Password_password""), Password)",Chrome 100.0.4896.127,,,2022-04-26 15:23:14,2022-04-26 15:23:14,0.664s,PASSED
"click(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/input_Required_button_btn__2lzmo""))",Chrome 100.0.4896.127,,,2022-04-26 15:23:14,2022-04-26 15:23:15,0.316s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/div_Zack Market""), 0)",Chrome 100.0.4896.127,,,2022-04-26 15:23:15,2022-04-26 15:23:16,1.688s,PASSED
closeBrowser(),Chrome 100.0.4896.127,,,2022-04-26 15:23:16,2022-04-26 15:23:16,0.097s,PASSED
