Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteDataDriven,Chrome 100.0.4896.127,,,2022-04-26 15:47:54,2022-04-26 15:48:17,23.550s,PASSED
,,,,,,,
Test Cases/DataDrivenTest/TestCaseDataDriven,Chrome 100.0.4896.127,,,2022-04-26 15:47:54,2022-04-26 15:48:07,12.847s,PASSED
"openBrowser(""https://demo-store.katalon.com/"")",Chrome 100.0.4896.127,,,2022-04-26 15:47:54,2022-04-26 15:48:02,7.921s,PASSED
"click(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/div_Zack Market_userHeader_tag__2vbdQ""))",Chrome 100.0.4896.127,,,2022-04-26 15:48:02,2022-04-26 15:48:02,0.350s,PASSED
"setText(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/input_Email_email""), Username)",Chrome 100.0.4896.127,,,2022-04-26 15:48:02,2022-04-26 15:48:03,0.838s,PASSED
"setText(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/input_Password_password""), Password)",Chrome 100.0.4896.127,,,2022-04-26 15:48:03,2022-04-26 15:48:04,0.547s,PASSED
"click(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/input_Required_button_btn__2lzmo""))",Chrome 100.0.4896.127,,,2022-04-26 15:48:04,2022-04-26 15:48:04,0.323s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/div_Zack Market""), 0)",Chrome 100.0.4896.127,,,2022-04-26 15:48:04,2022-04-26 15:48:06,1.518s,PASSED
takeScreenshot(),Chrome 100.0.4896.127,,,2022-04-26 15:48:06,2022-04-26 15:48:07,1.026s,PASSED
closeBrowser(),Chrome 100.0.4896.127,,,2022-04-26 15:48:07,2022-04-26 15:48:07,0.089s,PASSED
Video,Chrome 100.0.4896.127,,,2022-04-26 15:48:07,2022-04-26 15:48:07,0.000s,PASSED
,,,,,,,
Test Cases/DataDrivenTest/TestCaseDataDriven,Chrome 100.0.4896.127,,,2022-04-26 15:48:07,2022-04-26 15:48:17,10.469s,PASSED
"openBrowser(""https://demo-store.katalon.com/"")",Chrome 100.0.4896.127,,,2022-04-26 15:48:07,2022-04-26 15:48:12,5.676s,PASSED
"click(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/div_Zack Market_userHeader_tag__2vbdQ""))",Chrome 100.0.4896.127,,,2022-04-26 15:48:12,2022-04-26 15:48:13,0.326s,PASSED
"setText(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/input_Email_email""), Username)",Chrome 100.0.4896.127,,,2022-04-26 15:48:13,2022-04-26 15:48:14,0.826s,PASSED
"setText(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/input_Password_password""), Password)",Chrome 100.0.4896.127,,,2022-04-26 15:48:14,2022-04-26 15:48:14,0.871s,PASSED
"click(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/input_Required_button_btn__2lzmo""))",Chrome 100.0.4896.127,,,2022-04-26 15:48:14,2022-04-26 15:48:15,0.389s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/DataDriven_OR/Page_Zack Market/div_Zack Market""), 0)",Chrome 100.0.4896.127,,,2022-04-26 15:48:15,2022-04-26 15:48:16,1.173s,PASSED
takeScreenshot(),Chrome 100.0.4896.127,,,2022-04-26 15:48:16,2022-04-26 15:48:17,1.079s,PASSED
closeBrowser(),Chrome 100.0.4896.127,,,2022-04-26 15:48:17,2022-04-26 15:48:17,0.087s,PASSED
Video,Chrome 100.0.4896.127,,,2022-04-26 15:48:17,2022-04-26 15:48:17,0.000s,PASSED
